id,surveyid,titl,nation,authenty,data_coll_start,data_coll_end,created,changed
934,,"National Risk and Vulnerability Assessment 2005",Afghanistan,"[""Central Statistics Office (CSO) - Ministry of Rural Rehabilitation and Development""]",2005,2005,Oct-06-11,Sep-14-13
746,,"Multiple Indicator Cluster Survey 2003",Afghanistan,"[""Central Statistics Office - Afghanistan Transitional Authority""]",2003,2003,Sep-29-11,Sep-14-13
933,,"National Risk and Vulnerability Assessment 2003",Afghanistan,"[""Ministry of Rural Rehabilitation and Development""]",2003,2003,Oct-06-11,Sep-14-13
738,,"Multiple Indicator Cluster Survey 2000",Afghanistan,"[""Institutional Consultancy Services - German Technical Cooperation"","" Central Statistics Office""]",2000,2000,Sep-29-11,Sep-14-13
932,,"Population Census 1979",Afghanistan,"[""Central Statistics Office - Ministry of Planning""]",1979,1979,Oct-06-11,Sep-14-13
6723,,"Cross Border Trader Impact Evaluation 2010, Baseline Survey",Africa,"Kevin Croke - The World Bank <BR> Markus Goldstein - The World Bank <BR> Michael O'Sullivan - The World Bank ",2010,2010,Jan-18-17,Jan-18-17
1922,,"Afrobarometer Survey 2008, Round 4 Merged 20 Country",Africa,"[""Institute for Democracy in South Africa (IDASA)"","" Michigan State University (MSU)"","" Ghana Centre for Democratic Development (CDD-Ghana)""]",2008,2008,Jan-11-12,Sep-14-13
5233,,"Epidemiology and Treatment of Epilepsy in Sub-Saharan Countries 2007-2008",Africa,"Prof C R Newton - Dept of Psychiatry, University of Oxford, UK and KEMRI/Wellcome Trust Research Programme, Centre for Geographic Medicine Research–Coast, Kilifi , Kenya.<BR> Anthony K Ngugi - Dept ",2007,2008,Dec-19-14,Dec-22-14
2817,,"SACMEQ III Project 2005-2010",Africa,"[""Southern and Eastern Africa Consortium for Monitoring Educational Quality""]",2007,2007,Mar-24-13,Sep-14-13
1921,,"Afrobarometer Survey 2005-2006, Round 3 Merged 18 Country",Africa,"[""Institute for Democracy in South Africa (IDASA)"","" Michigan State University (MSU)"","" Ghana Centre for Democratic Development (CDD-Ghana)""]",2005,2006,Jan-11-12,Sep-14-13
1920,,"Afrobarometer Survey 2002-2004, Round 2 Merged 16 Country",Africa,"[""Institute for Democracy in South Africa (IDASA)"","" Michigan State University (MSU)"","" Ghana Centre for Democratic Development (CDD-Ghana)""]",2002,2004,Jan-11-12,Sep-14-13
4669,,"SACMEQ II Project 2000-2002",Africa,"Southern and Eastern Africa Consortium for Monitoring Educational Quality",2000,2002,Sep-05-14,Sep-05-14
6008,,"AFRINT Household and Village Level Data 2002-2008",Africa,"Lund University - Swedish Government",2001,2002,Jul-07-15,Jul-07-15
1919,,"Afrobarometer Survey 1999-2000, Round 1 Merged 12 Country",Africa,"[""Institute for Democracy in South Africa (IDASA)"","" Michigan State University (MSU)"","" Ghana Centre for Democratic Development (CDD-Ghana)""]",1999,2001,Jan-11-12,Sep-14-13
4668,,"SACMEQ I Project 1995-1998",Africa,"Southern and Eastern Africa Consortium for Monitoring Educational Quality (SACMEQ)",1995,1998,Sep-05-14,Sep-05-14
950,,"What Does Aid to Africa Finance ? 1970-1996",Africa,"[""Shantayanan Devarajan, Andrew Sunil Rajkumar and Vinaya Swaroop - World Bank""]",1970,1996,Oct-18-11,Sep-14-13
4667,,"Comparative Firm Level Data 1992-1995",Africa,"Centre for the Study of African Economies - University of Oxford",1992,1995,Sep-05-14,Sep-05-14
6472,,"Global Financial Inclusion (Global Findex) Database 2014",Albania,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
5234,,"World Bank Group Country Survey 2014",Albania,"Public Opinion Research Group - The World Bank Group",2014,2014,Dec-19-14,Dec-22-14
6976,,"Household Budget Survey 2014",Albania,"Institute of Statistics (INSTAT)",2014,2014,Jun-26-17,Jun-26-17
4746,,"Enterprise Survey 2013",Albania,"World Bank<BR> European Bank for Reconstruction and Development",2013,2013,Sep-05-14,Sep-05-14
6704,,"Labour Force Survey 2013",Albania,"Institute of Statistics of Albania",2013,2013,Jan-18-17,Jan-18-17
4341,,"Living Standards Measurement Survey 2012",Albania,"[""Institute of Statistics of Albania""]",2012,2012,Apr-07-14,Apr-07-14
4417,,"World Bank Country Survey 2012",Albania,"[""Public Opinion Research Group - The World Bank Group""]",2012,2012,Apr-07-14,Apr-07-14
6703,,"Labour Force Survey 2012",Albania,"Institute of Statistics of Albania",2012,2012,Jan-18-17,Jan-18-17
2649,,"Global Financial Inclusion (Global Findex) Database 2011",Albania,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
4279,,"Population and Housing Census 2011",Albania,"[""Institute of Statistics of Albania""]",2011,2011,Apr-07-14,Apr-07-14
6702,,"Labour Force Survey 2011",Albania,"Institute of Statistics of Albania",2011,2011,Jan-18-17,Jan-18-17
13,,"Household Budget Survey 2008-2009",Albania,"Institute of Statistics (INSTAT)",2008,2009,Sep-29-11,Mar-13-15
26,,"Demographic and Health Survey 2008-2009",Albania,"Institute of Statistics (INSTAT)<BR> Institute of Public Health (IShP)",2008,2009,Sep-29-11,Jul-06-17
4265,,"Labour Force Survey 2009",Albania,"Institute of Statistics of Albania",2009,2009,Apr-07-14,Mar-13-15
14,,"Enterprise Survey 2009",Albania,"[""World Bank"","" European Bank for Reconstruction and Development""]",2008,2009,Sep-29-11,Sep-14-13
12,,"Enterprise Survey 2007",Albania,"[""World Bank""]",2007,2008,Sep-29-11,Sep-14-13
4165,,"Living Standards Measurement Survey 2008",Albania,"[""Institute of Statistics of Albania""]",2008,2008,Feb-19-14,Feb-19-14
6009,,"Thresholds I and II Performance Evaluation 2008-2012",Albania,"Social Impact, Inc.",2008,2008,Jul-07-15,Jul-07-15
6975,,"Household Budget Survey 2006",Albania,"Institute of Statistics (INSTAT)",2006,2006,Jun-26-17,Jun-26-17
9,,"Enterprise Survey 2005",Albania,"[""World Bank"","" European Bank for Reconstruction and Development""]",2005,2005,Sep-29-11,Sep-14-13
10,,"Living Standards Measurement Survey 2005",Albania,"[""Institute of Statistics of Albania""]",2005,2005,Sep-29-11,Sep-14-13
11,,"Multiple Indicator Cluster Survey 2005",Albania,"[""Institute of Statistics""]",2005,2005,Sep-29-11,Sep-14-13
253,,"Service Availability Mapping 2005",Albania,"[""Institute of Public Health (IPH)""]",2005,2005,Sep-29-11,Sep-14-13
8,,"Living Standards Measurement Survey 2004 (Wave 3 Panel)",Albania,"[""Institute of Statistics of Albania""]",2004,2004,Sep-29-11,Sep-14-13
870,,"Public Expenditure Tracking Survey in Education 2004",Albania,"[""Public and Private Finance Institute, Albania"","" Ministry of Education and Science, Albania""]",2004,2004,Sep-30-11,Sep-14-13
871,,"Public Expenditure Tracking Survey in Health 2004",Albania,"[""Ministry of Health""]",2004,2004,Sep-30-11,Sep-14-13
7,,"Living Standards Measurement Survey 2003 (Wave 2 Panel)",Albania,"[""Institute of Statistics of Albania""]",2003,2003,Sep-29-11,Sep-14-13
6,,"Living Standards Measurement Survey 2002 (Wave 1 Panel)",Albania,"[""Institute of Statistics of Albania""]",2002,2002,Sep-29-11,Sep-14-13
5,,"Enterprise Survey 2002",Albania,"[""World Bank"","" European Bank for Reconstruction and Development""]",2002,2002,Sep-29-11,Sep-14-13
252,,"Reproductive Health Survey 2002",Albania,"Institute of Public Health (IPH)",2002,2002,Sep-29-11,Jul-07-15
243,,"Population and Housing Census 2001",Albania,"[""Institute of Statistics""]",2001,2001,Sep-29-11,Sep-14-13
4,,"Multiple Indicator Cluster Survey 2000",Albania,"[""Institute of Statistics""]",2000,2000,Sep-29-11,Sep-14-13
251,,"Agricultural Census 1998",Albania,"[""Institute of Statistics (INSTAT) - Ministry of Agriculture and Food (MOAF)""]",1998,1998,Sep-29-11,Sep-14-13
3,,"Employment and Welfare Survey 1996",Albania,"Ministry of Labour and Social Affairs",1996,1996,Sep-29-11,Mar-13-15
250,,"Urban Household Survey 1996",Albania,"[""Institute of Statistics (INSTAT)""]",1996,1996,Sep-29-11,Sep-14-13
249,,"Annual Agricultural Survey 1995",Albania,"[""Service of Statistics and Information (SSI) - Ministry of Agriculture and Food (MOAF)""]",1995,1995,Sep-29-11,Sep-14-13
248,,"Tirana Household Expenditure Survey 1994",Albania,"Institute of Statistics (INSTAT)",1994,1994,Sep-29-11,Mar-13-15
247,,"Population and Housing Census 1989",Albania,"[""Institute of Statistics (INSTAT)""]",1989,1989,Sep-29-11,Sep-14-13
246,,"Population and Housing Census 1979",Albania,"[""Institute of Statistics (INSTAT)""]",1979,1979,Sep-29-11,Sep-14-13
245,,"Population and Housing Census 1969",Albania,"[""Institute of Statistics (INSTAT)""]",1969,1969,Sep-29-11,Sep-14-13
244,,"Population and Housing Census 1960",Albania,"[""Institute of Statistics (INSTAT)""]",1960,1960,Sep-29-11,Sep-14-13
6382,,"Global Financial Inclusion (Global Findex) Database 2014",Algeria,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
2673,,"Global Financial Inclusion (Global Findex) Database 2011",Algeria,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
3627,,"Global School-based Student Health Survey 2010",Algeria,"[""World Health Organization"","" Centers for Disease Control and Prevention""]",2010,2010,Dec-12-13,Dec-12-13
4506,,"5ème Recensement Général de la Population et de l'Habitat",Algeria,"[""Office National des Statistiques (ONS)""]",2008,2008,May-19-14,May-19-14
737,,"Enquête à Indicateurs Multiples 2006",Algeria,"[""Minist\u00e8re de la Sant\u00e9, de la Population et de la R\u00e9forme Hospitali\u00e8re"","" Office National des Statistiques""]",2006,2006,Sep-29-11,Sep-14-13
736,,"Enquête à Indicateurs Multiples 2000, Enquête Nationale sur les Objectifs de la Fin Décennie (EDG Algérie 2000)",Algeria,"[""Institut National de Sant\u00e9 Publique - Minist\u00e8re de la Sant\u00e9 et de la Population""]",2000,2000,Sep-29-11,Sep-14-13
735,,"Enquête à Indicateurs Multiples 1995, Enquête Nationale sur les Objectifs de la Mi-décennie (MDG Algérie 1995)",Algeria,"[""Direction de la Pr\u00e9vention - Minist\u00e8re de la Sant\u00e9 et de la Population""]",1995,1995,Sep-29-11,Sep-14-13
7053,,"Inquérito de Indicadores Múltiplos e de Saúde 2015-2016",Angola,"Instituto Nacional de Estatística - Ministério da Saúde",2015,2016,Jun-26-17,Jun-26-17
6608,,"World Bank Group Country Survey 2015",Angola,"Public Opinion Research Group - World Bank Group",2015,2015,Jun-28-16,Jun-28-16
6361,,"Global Financial Inclusion (Global Findex) Database 2014",Angola,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
7038,,"Recenseamento Geral da População e Habitação 2014",Angola,"Instituto Nacional de Estatística - Ministério do Planeamento",2014,2014,Jun-26-17,Jun-26-17
4416,,"World Bank Country Survey 2012",Angola,"[""Public Opinion Research Group - The World Bank Group""]",2012,2012,Apr-07-14,Apr-07-14
2648,,"Global Financial Inclusion (Global Findex) Database 2011",Angola,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
4087,,"Malaria Indicator Survey 2011",Angola,"Consultoria de Servicos e Pesquisas–COSEP, Consultoria, Lda<BR> Consultoria de Gestao e Administracao em Saúde–Consaúde, Lda",2011,2011,Feb-19-14,Jul-06-17
393,,"Enterprise Survey 2010",Angola,"[""World Bank""]",2010,2010,Sep-29-11,Sep-14-13
394,,"Informal Survey 2010",Angola,"[""World Bank""]",2010,2010,Sep-29-11,Sep-14-13
2178,,"Inquérito Integrado sobre o Bem-Estar da População 2008-2009, IDR II e MICS III",Angola,"[""Instituto Nacional de Estat\u00edstica - Minist\u00e9rio do Planeamento""]",2008,2009,May-02-12,Sep-14-13
4064,,"Malaria Indicator Survey 2006-2007",Angola,"Consultoria de Servicos e Pesquisas–COSEP, Consultoria, Lda<BR> Consultoria de Gestao e Administracao em Saúde–Consaúde, Lda",2006,2007,Feb-19-14,Jul-06-17
3629,,"Global School-based Student Health Survey 2007",Angola,"[""World Health Organization"","" Centers for Disease Control and Prevention""]",2007,2007,Dec-12-13,Dec-12-13
1829,,"Micro-Enterprise Survey 2006",Angola,"[""World Bank""]",2006,2006,Dec-19-11,Sep-14-13
392,,"Enterprise Survey 2006",Angola,"[""World Bank""]",2006,2006,Sep-29-11,Sep-14-13
4139,,"Comprehensive Food Security and Vulnerability Analysis 2005",Angola,"[""World Food Programme - United Nations""]",2005,2005,Feb-19-14,Feb-19-14
4706,,"Inquerito de Indicadores Básicos do Bem-Estar de 2005",Angola,"Instituto Nacional de Estátisticas - Ministério do Planeamento",2005,2005,Sep-05-14,Sep-05-14
2182,,"Inquérito aos Agregados Familiares sobre Despesas e Receitas 2000",Angola,"[""Instituto Nacional de Estat\u00edstica - Minist\u00e9rio do Planeamento""]",2000,2001,May-02-12,Sep-14-13
734,,"Multiple Indicator Cluster Survey 2001",Angola,"[""Instituto Nacional de Estad\u00edstica""]",2001,2001,Sep-29-11,Sep-14-13
4705,,"Inquérito aos Agregados Familiares sobre Despesas e Receitas 1999",Angola,"Instituto Nacional de Estátisticas - Ministério do Planeamento ",1999,1999,Sep-05-14,Sep-05-14
733,,"Multiple Indicator Cluster Survey 1996",Angola,"[""Instituto Nacional de Estad\u00edstica""]",1996,1996,Sep-29-11,Sep-14-13
3672,,"Global School-based Student Health Survey 2008",Anguilla,"[""World Health Organization"","" Centers for Disease Control and Prevention""]",2008,2008,Dec-12-13,Dec-12-13
1817,,"Enterprise Survey 2010","Antigua and Barbuda","[""World Bank""]",2011,2011,Dec-19-11,Sep-14-13
3673,,"Global School-based Student Health Survey 2009","Antigua and Barbuda","[""World Health Organization"","" Centers for Disease Control and Prevention""]",2009,2009,Dec-12-13,Dec-12-13
4066,,"Survey of Living Conditions and Household Budgets 2005-2006","Antigua and Barbuda","[""Kairi Consultants Limited"","" National Assessment Team"","" Caribbean Development Bank""]",2005,2006,Feb-19-14,Feb-19-14
4291,,"Population and Housing Census 2001","Antigua and Barbuda","[""Caribbean Community (CARICOM) Secretariat""]",2001,2001,Apr-07-14,Apr-07-14
6820,,"World Bank Group Country Survey 2016",Argentina,"Public Opinion Research Group - World Bank Group",2015,2016,Jan-18-17,Jan-18-17
6474,,"Global Financial Inclusion (Global Findex) Database 2014",Argentina,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
4418,,"World Bank Country Survey 2012",Argentina,"[""Public Opinion Research Group - The World Bank Group""]",2012,2012,Apr-07-14,Apr-07-14
396,,"Enterprise Survey 2010",Argentina,"[""World Bank""]",2010,2011,Sep-29-11,Sep-14-13
2650,,"Global Financial Inclusion (Global Findex) Database 2011",Argentina,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
397,,"Informal Survey 2010",Argentina,"[""World Bank""]",2010,2010,Sep-29-11,Sep-14-13
6949,,"National Population, Households, and Dwellings Census 2010 - IPUMS Subset",Argentina,"Argentine National Institute of Statistics and Censuses<BR> Minnesota Population Center - University of Minnesota",2010,2010,Jun-26-17,Jun-26-17
3674,,"Global School-based Student Health Survey 2007",Argentina,"[""Ministry of Health"","" World Health Organization"","" Centers for Disease Control and Prevention""]",2007,2007,Dec-12-13,Dec-12-13
395,,"Enterprise Survey 2006",Argentina,"[""World Bank""]",2006,2006,Sep-29-11,Sep-14-13
6597,,"Encuesta Permanente de Hogares 2003, Cuarto Trimestre",Argentina,"Dirección de Estudios de Ingresos y Gastos de los Hogares - Instituto Nacional de Estadística y Censos",2003,2003,May-03-16,May-03-16
338,,"National Population, Households, and Dwellings Census 2001 - IPUMS Subset",Argentina,"Argentine National Institute of Statistics and Censuses",2001,2002,Sep-29-11,Dec-22-14
3829,,"Multi Country Study Survey 2000-2001",Argentina,"[""World Health Organization (WHO)""]",2000,2001,Dec-12-13,Dec-12-13
340,,"Censo Nacional de Población, Familias y Viviendas 2001",Argentina,"[""Instituto Nacional de Estad\u00edsticas y Censos""]",2001,2001,Sep-29-11,Sep-14-13
330,,"National Population and Housing Census 1991 - IPUMS Subset",Argentina,"Argentine National Institute of Statistics and Censuses",1991,1991,Sep-29-11,Dec-22-14
332,,"Censo Nacional de Población y Vivienda 1991",Argentina,"[""Instituto Nacional de Estad\u00edsticas y Censos""]",1991,1991,Sep-29-11,Sep-14-13
323,,"National Population and Housing Census 1980 - IPUMS Subset",Argentina,"Argentine National institute of Statistics and Censuses",1980,1980,Sep-29-11,Dec-22-14
325,,"Censo Nacional de Población y Viviendas 1980",Argentina,"[""Instituto Nacional de Estad\u00edsticas y Censos""]",1980,1980,Sep-29-11,Sep-14-13
312,,"Censo Nacional de Población, Familias y Viviendas 1970",Argentina,"[""Instituto Nacional de Estad\u00edsticas y Censos""]",1970,1970,Sep-29-11,Sep-14-13
313,,"National Population, Family, and Housing Census 1970 - IPUMS Subset",Argentina,"Argentine National Institue of Statistics and Censuses",1970,1970,Sep-29-11,Dec-22-14
7003,,"Labor Force Survey 2015",Armenia,"National Statistical Service of the Republic of Armenia",2015,2015,Jun-26-17,Jun-26-17
6787,,"World Bank Group Country Survey FY2016",Armenia,"Public Opinion Research Group - World Bank Group",2015,2015,Jan-18-17,Jan-18-17
6010,,"BOOST Government Expenditure Data 2006-2014",Armenia,"Ministry of Finance in Armenia<BR> Macroeconomics & Fiscal Management - GP - World Bank<BR> Education - GP - World Bank",2006,2014,Jul-07-15,Jul-07-15
6475,,"Global Financial Inclusion (Global Findex) Database 2014",Armenia,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
6594,,"Labor Force Survey 2014",Armenia,"National Statistical Service of the Republic of Armenia",2014,2014,May-03-16,May-03-16
6524,,"STEP Skills Measurement Employer Survey 2013 (Wave 2)",Armenia,"World Bank",2013,2013,May-03-16,May-03-16
4779,,"STEP Skills Measurement Program 2013, Skills Toward Employment and Productivity (Wave 2)",Armenia,"World Bank",2013,2013,Sep-05-14,Feb-13-15
4744,,"Enterprise Survey 2013",Armenia,"World Bank<BR> European Bank for Reconstruction and Development",2012,2013,Sep-05-14,Sep-05-14
5235,,"Integrated Living Conditions Survey 2013",Armenia,"National Statistical Service of the Republic of Armenia",2013,2013,Dec-19-14,Mar-13-15
4369,,"Integrated Living Conditions Survey 2012",Armenia,"National Statistical Service of the Republic of Armenia",2012,2012,Apr-07-14,Mar-13-15
4419,,"World Bank Country Survey 2013",Armenia,"[""Public Opinion Research Group - The World Bank Group""]",2012,2012,Apr-07-14,Apr-07-14
280,,"The 2001 Population and Housing Census of the Republic of Armenia - IPUMS Subset",Armenia,"National Statistical Service of the Republic of Armenia",2011,2001,Sep-29-11,Dec-22-14
6011,,"BOOST Education Sector Module 2006-2011",Armenia,"Eastern Europe and Central Asia, Poverty Reduction and Economic Management - World Bank<BR> Ministry of Finance of Armenia",2006,2011,Jul-07-15,Jul-07-15
6015,,"Rural Road Rehabilitation 2008-2011",Armenia,"Mathematica Policy Research - Independent evaluator",2008,2011,Jul-07-15,Jul-07-15
6017,,"Water to Market Post-Harvest Processing 2010-2011",Armenia,"Mathematica Policy Research, Inc.<BR> Consortium of AREG and Jen Consult",2010,2011,Jul-07-15,Jul-07-15
2651,,"Global Financial Inclusion (Global Findex) Database 2011",Armenia,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Dec-20-12,Jul-07-15
4303,,"Integrated Living Conditions Survey 2011",Armenia,"National Statistical Service of the Republic of Armenia",2011,2011,Apr-07-14,Mar-13-15
4318,,"Population and Housing Census 2011",Armenia,"[""National Statistical Service of the Republic of Armenia""]",2011,2011,Apr-07-14,Apr-07-14
6907,,"Population and Housing Census 2011 - IPUMS Subset",Armenia,"National Statistical Service of the Republic of Armenia<BR> Minnesota Population Center - University of Minnesota",2011,2011,Jan-18-17,Jan-18-17
6014,,"Water to Market Institutional Strengthening 2007-2010",Armenia,"Mathematica Policy Research, Inc.",2007,2010,Jul-07-15,Jul-07-15
6016,,"Irrigation Infrastructure 2009-2014",Armenia,"Mathematica Policy Research",2009,2010,Jul-07-15,Jul-07-15
2494,,"Demographic and Health Survey 2010",Armenia,"National Statistical Service of the Republic of Armenia<BR> Ministry of Health of the Republic of Armenia",2010,2010,Dec-20-12,Jul-06-17
4302,,"Rapid Assessment of the Impact of the Global Financial Crisis 2009",Armenia,"[""World Food Programme - United Nations""]",2009,2009,Apr-07-14,Apr-07-14
277,,"Enterprise Survey 2009",Armenia,"[""World Bank"","" European Bank for Reconstruction and Development""]",2008,2009,Sep-29-11,Sep-14-13
278,,"Integrated Living Conditions Survey 2009",Armenia,"National Statistical Service of the Republic of Armenia",2009,2009,Sep-29-11,Mar-13-15
6012,,"Water to Market Credit 2007-2011",Armenia,"Mathematica Policy Research",2007,2008,Jul-07-15,Jul-07-15
6013,,"Water to Market Farmer Training 2007-2011",Armenia,"Mathematica Policy Research, Inc.",2007,2008,Jul-07-15,Jul-07-15
936,,"Farming Practices Survey 2007-2009",Armenia,"[""Jen Consult\/AREG NGO for the Millennium Challenge Corporation (MCC)""]",2007,2008,Oct-13-11,Sep-14-13
4284,,"Labour Force Survey 2008",Armenia,"National Statistical Service of the Republic of Armenia",2008,2008,Apr-07-14,Mar-13-15
279,,"Integrated Living Conditions Survey 2008",Armenia,"National Statistical Service of the Republic of Armenia",2008,2008,Sep-29-11,Mar-13-15
361,,"Sample Survey of Individual Housing Construction 2008",Armenia,"[""National Statistical Service""]",2008,2008,Sep-29-11,Sep-14-13
276,,"Integrated Living Conditions Survey 2007",Armenia,"National Statistical Service of the Republic of Armenia",2007,2007,Sep-29-11,Mar-13-15
287,,"Labor Migration Survey 2007, Migration Statistics",Armenia,"National Statistical Service",2007,2007,Sep-29-11,Mar-13-15
288,,"Sample Survey on Price Statistics (Producer Price Index and Agriculture Price Index) 2007",Armenia,"[""National Statistical Service""]",2007,2007,Sep-29-11,Sep-14-13
274,,"Integrated Living Conditions Survey 2006",Armenia,"National Statistical Service of the Republic of Armenia",2006,2006,Sep-29-11,Mar-13-15
275,,"Labor Force Survey 2006",Armenia,"National Statistical Service",2006,2006,Sep-29-11,Mar-13-15
360,,"Sample Survey of Financial Assets and Liabilities of Organizations 2006",Armenia,"[""National Statistical Service""]",2006,2006,Sep-29-11,Sep-14-13
269,,"Integrated Living Conditions Survey 2004",Armenia,"National Statistical Service of the Republic of Armenia",2004,2005,Sep-29-11,Mar-13-15
270,,"Demographic and Health Survey 2005",Armenia,"National Statistical Service (NSS)<BR> Ministry of Health (MOH)",2005,2005,Sep-29-11,Jul-06-17
271,,"Enterprise Survey 2005",Armenia,"[""World Bank"","" European Bank for Reconstruction and Development""]",2005,2005,Sep-29-11,Sep-14-13
273,,"Integrated Living Conditions Survey 2005",Armenia,"National Statistical Service of the Republic of Armenia",2005,2005,Sep-29-11,Mar-13-15
268,,"Integrated Living Conditions Survey 2003",Armenia,"National Statistical Service of the Republic of Armenia",2003,2003,Sep-29-11,Mar-13-15
266,,"Enterprise Survey 2002",Armenia,"[""World Bank"","" European Bank for Reconstruction and Development""]",2002,2002,Sep-29-11,Sep-14-13
267,,"Integrated Living Conditions Survey 2002",Armenia,"National Statistical Service of the Republic of Armenia",2002,2002,Sep-29-11,Mar-13-15
264,,"Integrated Living Conditions Survey 2001",Armenia,"National Statistical Service of the Republic of Armenia",2001,2001,Sep-29-11,Mar-13-15
265,,"Population and Housing Census 2001",Armenia,"[""National Statistical Service""]",2001,2001,Sep-29-11,Sep-14-13
263,,"Demographic and Health Survey 2000",Armenia,"National Statistical Service<BR> Ministry of Health",2000,2000,Sep-29-11,Jul-06-17
3608,,"Integrated Living Conditions Survey 1998-1999",Armenia,"National Statistical Service of the Republic of Armenia",1998,1999,Dec-12-13,Mar-13-15
286,,"Energy Survey 1999",Armenia,"[""National Statistical Service""]",1999,1999,Sep-29-11,Sep-14-13
261,,"Household Budget Survey 1996",Armenia,"State Department of Statistics (SDS)",1996,1996,Sep-29-11,Mar-13-15
285,,"Population and Housing Census 1989",Armenia,"[""State Statistical Committee of the Soviet Socialist Republic of Armenia""]",1989,1989,Sep-29-11,Sep-14-13
284,,"Population and Housing Census 1979",Armenia,"[""Central Statistical Department of the Soviet Socialist Republic of Armenia""]",1979,1979,Sep-29-11,Sep-14-13
260,,"Population and Housing Census 1970",Armenia,"[""National Statistical Service""]",1970,1970,Sep-29-11,Sep-14-13
283,,"Population and Housing Census 1959",Armenia,"[""Statistical Department of Soviet Socialist Republic of Armenia""]",1959,1959,Sep-29-11,Sep-14-13
2972,,"Labor Force Survey 1997",Aruba,"[""Central Bureau of Statistics""]",1997,1997,Jul-10-13,Sep-14-13
6476,,"Global Financial Inclusion (Global Findex) Database 2014",Australia,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
2770,,"Global Financial Inclusion (Global Findex) Database 2011",Australia,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2011,2011,Mar-24-13,Jul-07-15
3837,,"Multi Country Study Survey 2000-2001",Australia,"[""World Health Organization (WHO)""]",2000,2001,Dec-12-13,Dec-12-13
6477,,"Global Financial Inclusion (Global Findex) Database 2014",Austria,"Development Research Group, Finance and Private Sector Development Unit - World Bank",2014,2014,Jan-29-16,Jan-29-16
