"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","DATASOURCE (CODE)","DATASOURCE (DISPLAY)","DATASOURCE (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","WEALTHQUINTILE (CODE)","WEALTHQUINTILE (DISPLAY)","WEALTHQUINTILE (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2004","2004","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ5","Q5 (Richest)","","62.5 [59.9-65.1]","62.52693","59.91203","65.07071","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ3","Q3","","54.1 [51.2-57.0]","54.12988","51.22569","57.00629","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2007","2007","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ5","Q5 (Richest)","","59.9 [57.2-62.5]","59.88758","57.21429","62.50330","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ1","Q1 (Poorest)","","61.5 [59.2-63.7]","61.49314","59.22806","63.70950","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ3","Q3","","61.4 [59.3-63.5]","61.44542","59.34756","63.50161","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2011","2011","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ5","Q5 (Richest)","","84.3 [82.4-86.0]","84.25349","82.35178","85.98517","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ1","Q1 (Poorest)","","65.8 [64.4-67.2]","65.78617","64.37761","67.16743","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ3","Q3","","64.0 [62.6-65.3]","63.96109","62.58511","65.31452","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","SEAR","South-East Asia","","BGD","Bangladesh","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","WQ4","Q4","","59.0 [52.0-65.6]","58.96073","51.97910","65.59910","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","WQ1","Q1 (Poorest)","","52.9 [45.2-60.5]","52.93085","45.23819","60.48677","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","WQ3","Q3","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","AMR","Americas","","BRB","Barbados","","WQ5","Q5 (Richest)","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","BLR","Belarus","","WQ4","Q4","","60.3 [56.1-64.3]","60.25850","56.07096","64.30099","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","BLR","Belarus","","WQ1","Q1 (Poorest)","","68.4 [63.1-73.3]","68.40092","63.09287","73.26898","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","BLR","Belarus","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2005","2005","","EUR","Europe","","BLR","Belarus","","WQ3","Q3","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BLR","Belarus","","WQ2","Q2","","50.4 [45.7-55.2]","50.41818","45.65381","55.17497","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BLR","Belarus","","WQ4","Q4","","51.7 [47.4-56.0]","51.72838","47.44884","55.98272","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BLR","Belarus","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BLR","Belarus","","WQ3","Q3","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","BLZ","Belize","","WQ2","Q2","","30.1 [24.9-36.0]","30.14617","24.86279","36.01414","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","BLZ","Belize","","WQ4","Q4","","34.9 [29.7-40.5]","34.90451","29.68195","40.51652","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","AMR","Americas","","BLZ","Belize","","WQ1","Q1 (Poorest)","","33.1 [27.2-39.6]","33.10752","27.21660","39.58012","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","BLZ","Belize","","WQ2","Q2","","50.9 [46.0-55.8]","50.91421","46.00767","55.80320","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","AMR","Americas","","BLZ","Belize","","WQ1","Q1 (Poorest)","","No data","","","","","","Not available."
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1994","1994","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ4","Q4","","55.1 [51.8-58.4]","55.14392","51.84519","58.39800","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1998","1998","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ4","Q4","","60.6 [57.3-63.7]","60.56094","57.31057","63.72050","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ2","Q2","","53.9 [51.0-56.7]","53.87704","51.01869","56.71011","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ4","Q4","","64.6 [61.7-67.3]","64.57076","61.69917","67.34102","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ2","Q2","","54.8 [52.1-57.4]","54.75547","52.07288","57.41071","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ4","Q4","","67.3 [64.9-69.6]","67.33577","64.94557","69.63918","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","WQ4","Q4","","82.3 [80.2-84.2]","82.29946","80.16914","84.24591","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ5","Q5 (Richest)","","19.9 [15.6-25.1]","19.94820","15.64544","25.08242","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ2","Q2","","40.8 [34.5-47.4]","40.78206","34.50994","47.36958","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ4","Q4","","54.6 [46.4-62.6]","54.61447","46.37807","62.60580","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ3","Q3","","11.3 [8.6-14.6]","11.27740","8.63576","14.59800","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ5","Q5 (Richest)","","19.6 [15.2-24.9]","19.61289","15.23339","24.88188","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ2","Q2","","No data","","","","","","Not available."
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2011","2011","","EUR","Europe","","BIH","Bosnia and Herzegovina","","WQ4","Q4","","No data","","","","","","Not available."
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1996","1996","","AMR","Americas","","BRA","Brazil","","WQ3","Q3","","73.6 [71.0-76.1]","73.63084","70.98012","76.12090","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1996","1996","","AMR","Americas","","BRA","Brazil","","WQ5","Q5 (Richest)","","76.8 [74.0-79.4]","76.80886","73.98279","79.41338","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1996","1996","","AMR","Americas","","BRA","Brazil","","WQ2","Q2","","90.3 [88.6-91.8]","90.32370","88.58469","91.82224","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1996","1996","","AMR","Americas","","BRA","Brazil","","WQ4","Q4","","95.3 [93.8-96.5]","95.31014","93.80347","96.46428","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1998","1998","","AFR","Africa","","BFA","Burkina Faso","","WQ1","Q1 (Poorest)","","1.8 [1.0-3.3]","1.83584","1.02219","3.27570","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1998","1998","","AFR","Africa","","BFA","Burkina Faso","","WQ3","Q3","","2.7 [1.7-4.3]","2.67295","1.65148","4.29859","","",""
"fps","Demand for family planning satisfied (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3321","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","1998","1998","","AFR","Africa","","BFA","Burkina Faso","","WQ2","Q2","","32.2 [24.2-41.4]","32.22617","24.22313","41.42776","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","BFA","Burkina Faso","","WQ1","Q1 (Poorest)","","1.8 [1.2-2.7]","1.80972","1.22063","2.67540","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2003","2003","","AFR","Africa","","BFA","Burkina Faso","","WQ3","Q3","","6.2 [5.0-7.7]","6.18923","4.95378","7.70780","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_MICS","MICS","http://mics.unicef.org/","PUBLISHED","Published","","2006","2006","","AFR","Africa","","BFA","Burkina Faso","","WQ1","Q1 (Poorest)","","6.3 [4.9-8.1]","6.30417","4.89856","8.07884","","",""
"cpmo","Contraceptive prevalence - modern methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3334","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","AFR","Africa","","BFA","Burkina Faso","","WQ1","Q1 (Poorest)","","7.1 [6.1-8.4]","7.12799","6.05359","8.37609","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2005","2005","","WPR","Western Pacific","","KHM","Cambodia","","WQ5","Q5 (Richest)","","54.0 [51.3-56.6]","53.96611","51.30445","56.60533","","",""
"cpmt","Contraceptive prevalence - modern and traditional methods (%)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=3333","EQ_DHS","DHS","http://dhsprogram.com/","PUBLISHED","Published","","2010","2010","","WPR","Western Pacific","","KHM","Cambodia","","WQ3","Q3","","51.3 [48.4-54.3]","51.33297","48.38412","54.27256","","",""
